Id2,totalGroup1,totalGroup2,percent_bachelorPlus,meanvalence,households_meanIncome
6037131701,1280,1103,27.4,5.941002638,56154
6037131702,1424,826,20.3,5.801717463,59470
6037131800,2836,1360,20.4,5.761832767,64881
6037131900,1793,1324,24.7,5.796355847,73788
6037132001,748,1427,26.9,5.914716647,87409
6037132002,934,1566,25.3,5.774998794,82508
6037132101,1562,1157,29.1,5.6952768,77586
6037132102,1771,1729,27.7,5.804880875,67360
6037132300,3267,1508,22.9,5.823057835,57255
6037132501,1734,1277,15.3,5.864575821,61148
6037132502,1375,1113,18.4,5.885878614,54104
6037132700,2592,1432,17.7,5.695025273,61510
6037132900,887,2062,31.6,5.85824785,95030
6037133000,1904,1236,17.4,5.781645724,79477
6037133100,1933,2491,31.5,5.794838057,72432
6037134001,2478,215,12.1,5.724838965,50008
6037134002,1892,727,17.3,5.46679287,87316
6037134101,2220,1112,21.6,5.85189814,78027
6037134103,1693,1119,19.6,5.757423165,75227
6037134104,1175,760,25.3,5.829830994,81702
6037134201,1608,1209,20,5.778321949,98823
6037134302,774,1954,28.9,5.843299199,87013
6037134303,2372,2226,25.4,5.834480834,92186
6037134304,738,1054,27.2,5.770020199,80704
6037134305,2849,314,7.8,5.885465621,44117
6037134306,942,1192,25.9,5.960638145,62677
6037134421,287,2286,47.6,5.795783439,120006
6037134422,366,2839,42.6,5.80157473,110761
6037134423,305,1950,54.2,5.946462719,105323
6037134424,143,1648,66.4,5.836082926,160645
6037134520,3057,498,14.3,5.852244042,46257
6037134521,1951,121,3.5,5.720241391,47523
6037134522,1990,487,19.8,5.897879272,44075
6037134710,3431,738,15.7,5.850737519,50880
6037134720,1933,1111,24.4,5.782255943,59763
6037134800,2708,1528,22.5,5.868511044,72266
6037134901,769,1679,37.1,5.814150794,93874
6037134903,1965,1249,39.2,5.799741482,59907
6037134904,2090,1162,24.1,5.792541742,67590
6037134905,411,2050,60.7,5.834112087,113190
6037135102,468,2272,45.1,5.844679324,100538
6037135111,491,1241,47.9,5.833748552,93361
6037135113,212,1262,53.9,5.862609819,85786
6037135114,428,2220,68.8,5.854745952,82313
6037135201,293,1503,43.1,5.824686303,105545
6037135202,492,2548,37.3,5.781463615,118274
6037135203,973,4075,41.1,5.872575171,100429
6037137103,576,2501,53.7,5.819231424,85077
6037137104,247,1812,48.5,5.80724164,121009
6037137201,597,2790,47.2,5.776002212,84761
6037137301,174,1284,49,5.779025372,147122
6037137302,208,3155,55.8,5.813459848,124018
