price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,type,paint_color,F1,F2,F3,F4
7624.0,2004.0,ford,excellent,6 cylinders,gas,119223.0,automatic,truck,black,604,2.172984709438204,0.05000282756091429,b
9254.0,2006.0,ford,excellent,8 cylinders,gas,112000.0,automatic,pickup,white,151,2.009717684078651,0.20861725773038609,b
42073.0,2019.0,ford,like new,6 cylinders,gas,6789.0,automatic,pickup,silver,1495,2.476945849019878,0.06625945557248282,a
38642.0,2018.0,ford,good,8 cylinders,gas,5259.0,automatic,pickup,red,4971,2.512199896996857,0.18571643106700572,c
800.0,2010.0,ford,good,4 cylinders,gas,,automatic,sedan,white,204,2.0772065688034567,0.07787981369079769,b
8432.0,2013.0,ford,excellent,4 cylinders,gas,80571.0,automatic,sedan,white,521,2.3150960786531427,0.09512650331707218,c
25104.0,2014.0,ford,good,8 cylinders,gas,123867.0,automatic,truck,black,1248,2.3829507303052417,0.1417589912734195,c
33780.0,2017.0,ford,good,6 cylinders,gas,9701.0,automatic,pickup,blue,4933,2.3835085031707157,0.07390869962368593,a
1544.0,2004.0,ford,good,8 cylinders,gas,,automatic,SUV,red,267,2.122373655659444,0.029172873027737783,c
18447.0,2017.0,ford,like new,4 cylinders,gas,1.0,automatic,truck,black,4390,2.4968872101141857,0.1098657910782096,b
23718.0,2011.0,ford,good,8 cylinders,gas,183000.0,automatic,pickup,silver,337,2.369902188219438,0.05541950330598752,a
2643.0,2006.0,ford,fair,8 cylinders,gas,285140.0,automatic,SUV,black,283,2.045880055180815,0.2287580294160323,b
29567.0,2017.0,ford,excellent,6 cylinders,gas,48227.0,automatic,SUV,blue,1879,2.570866253616145,0.23688800023519715,a
22640.0,2018.0,ford,excellent,4 cylinders,gas,23279.0,automatic,sedan,white,2987,2.3974312146665793,0.08005275661607644,a
9523.0,2012.0,ford,excellent,4 cylinders,gas,66711.0,automatic,sedan,blue,734,2.308228455276728,0.1787647925823546,b
2969.0,2002.0,ford,fair,6 cylinders,gas,166000.0,automatic,SUV,white,1218,2.1833814456849288,0.1877007805265094,c
19513.0,2013.0,ford,excellent,8 cylinders,gas,77995.0,automatic,pickup,silver,114,2.260361968232648,-0.015120864136041898,b
2946.0,2013.0,ford,like new,8 cylinders,gas,1.0,automatic,truck,white,115,2.3714651354998053,0.07312261534256106,b
6034.0,2006.0,ford,good,8 cylinders,gas,200000.0,automatic,truck,red,85,2.1296328933605286,0.005725562047388999,c
9937.0,2008.0,ford,excellent,8 cylinders,gas,123800.0,automatic,SUV,black,176,2.2566499703098133,0.2264699301598589,b
18602.0,2010.0,ford,excellent,8 cylinders,gas,157330.0,automatic,pickup,red,2382,2.179336940898917,0.36994868193878105,b
8854.0,2014.0,ford,good,8 cylinders,gas,184200.0,automatic,truck,white,115,2.2158444486873266,0.11388971753878667,a
15162.0,2010.0,ford,excellent,8 cylinders,gas,149892.0,automatic,truck,black,427,2.2509647184312587,0.0638388271730892,b
15009.0,2017.0,ford,like new,4 cylinders,gas,44165.0,automatic,sedan,red,4325,2.4236561047416947,0.07513266002743213,a
7116.0,2009.0,subaru,excellent,4 cylinders,gas,171092.0,automatic,SUV,silver,1637,2.1562059911193128,0.1493349673906013,b
6876.0,2011.0,ford,good,6 cylinders,gas,104000.0,automatic,sedan,silver,67,2.2991878101824317,0.2400433995265792,b
28907.0,2013.0,ford,like new,6 cylinders,gas,103588.0,automatic,pickup,white,1149,2.29134929808659,0.07461273532460573,c
6022.0,1999.0,ford,good,8 cylinders,gas,,automatic,truck,white,608,1.9242077252875849,0.10444614585009968,a
500.0,2003.0,ford,like new,4 cylinders,gas,,automatic,SUV,red,363,2.123909306750253,0.12230045411732175,a
9343.0,2007.0,ford,excellent,8 cylinders,gas,,automatic,truck,red,603,2.0583429479863096,0.08142477173351872,b
10862.0,2009.0,subaru,like new,4 cylinders,gas,130000.0,manual,sedan,red,728,2.1336054438285355,0.036677488584455166,a
23432.0,2013.0,ford,good,6 cylinders,gas,74453.0,automatic,truck,white,2053,2.0857681492371407,0.2335840819476465,c
1812.0,1992.0,ford,fair,4 cylinders,gas,245000.0,manual,truck,blue,1341,1.4900018702128508,0.19258390776885054,a
8967.0,2007.0,ford,excellent,8 cylinders,gas,185000.0,automatic,pickup,white,136,2.206249625330431,-0.03917730252803886,b
16504.0,2015.0,subaru,excellent,4 cylinders,gas,71300.0,automatic,SUV,blue,929,2.3583139582319914,0.10370867372432392,a
37163.0,2016.0,ford,like new,8 cylinders,gas,123947.0,automatic,truck,white,1176,2.4022394773419187,0.16409565796324846,a
2573.0,2003.0,ford,excellent,8 cylinders,gas,171022.0,automatic,truck,red,1508,2.1279568539374902,-0.00850770814860072,c
4131.0,2007.0,ford,excellent,8 cylinders,gas,176000.0,automatic,sedan,silver,1287,2.0361685921058665,0.1802984937525393,c
4827.0,2005.0,ford,fair,6 cylinders,gas,192000.0,automatic,SUV,silver,120,2.1221266033427537,0.032496676233174815,b
3764.0,2001.0,ford,excellent,8 cylinders,gas,54740.0,automatic,sedan,white,21434,2.050883799946481,-0.05786742624288435,c
9550.0,2011.0,subaru,good,4 cylinders,gas,103371.0,automatic,SUV,black,2493,2.2873070472077863,0.13184250137842904,a
6570.0,2005.0,subaru,good,4 cylinders,gas,197465.0,manual,SUV,silver,1386,2.0911974539095586,0.051425479400691136,b
4179.0,2007.0,ford,excellent,4 cylinders,gas,79333.0,automatic,sedan,white,209,2.289627231199759,0.046032511079276674,c
3429.0,2003.0,ford,good,8 cylinders,gas,177000.0,automatic,truck,white,686,1.876331799604113,0.010007987550296664,a
2737.0,2001.0,ford,fair,8 cylinders,gas,152000.0,automatic,SUV,red,679,2.035672661390463,0.11873705376775442,a
18120.0,2019.0,ford,excellent,4 cylinders,gas,47516.0,automatic,SUV,silver,5825,2.450868891608207,0.10149005186406923,c
21635.0,2018.0,subaru,excellent,4 cylinders,gas,24200.0,automatic,SUV,blue,275,2.6815035238416205,0.2022506915868455,c
15058.0,2014.0,ford,excellent,4 cylinders,gas,56000.0,automatic,SUV,silver,817,2.2429279269533486,0.18868703222040112,b
23390.0,2013.0,ford,like new,6 cylinders,gas,20162.0,automatic,SUV,red,286,2.525474624687829,0.12760119583959514,a
31644.0,2011.0,ford,good,8 cylinders,gas,106300.0,automatic,truck,black,2361,2.1485721627854093,0.1537135590355982,a
14293.0,2012.0,subaru,excellent,4 cylinders,gas,75000.0,automatic,SUV,blue,211,2.1900768658694063,0.120995484684845,c
31420.0,2016.0,ford,good,8 cylinders,gas,31124.0,automatic,truck,white,2193,2.3573123114615395,0.1382832509399407,b
31113.0,2019.0,ford,excellent,8 cylinders,gas,8000.0,automatic,truck,white,2504,2.4621257731612016,0.16422213540660374,a
9165.0,2000.0,ford,like new,4 cylinders,gas,73000.0,automatic,truck,red,1040,1.8065831317402343,-0.07001642906133751,b
6339.0,2002.0,ford,excellent,6 cylinders,gas,112000.0,automatic,truck,white,396,2.1772872871762448,0.06267621967049,a
8402.0,2014.0,ford,good,4 cylinders,gas,178529.0,automatic,SUV,white,436,2.2936323047693,0.013611542922831316,b
21688.0,2014.0,ford,excellent,6 cylinders,gas,82484.0,automatic,SUV,black,1035,2.2610910100837884,0.09964827464422103,b
6128.0,2009.0,ford,good,6 cylinders,gas,148117.0,automatic,SUV,black,1230,2.0975816308731168,0.10991949968785727,b
23869.0,2018.0,subaru,excellent,4 cylinders,gas,20176.0,automatic,SUV,red,1217,2.351522749759204,0.08552706488846315,c
10223.0,2008.0,ford,excellent,8 cylinders,gas,186961.0,automatic,SUV,black,4031,2.258156426334233,0.08930727005310765,b
3195.0,1988.0,ford,good,8 cylinders,gas,130200.0,automatic,truck,white,175,1.7572667068011802,-0.07870170341299762,b
8608.0,2013.0,ford,good,8 cylinders,gas,241126.0,automatic,pickup,white,498,2.365639583173332,-0.12274822511571334,b
22730.0,2014.0,subaru,excellent,4 cylinders,gas,53349.0,manual,SUV,blue,1121,2.2382922674704,0.25241040671198084,a
6295.0,2003.0,ford,good,8 cylinders,gas,202600.0,automatic,truck,white,307,2.082975160474893,0.1590239629196031,a
37960.0,2017.0,ford,good,6 cylinders,gas,14695.0,automatic,pickup,blue,4945,2.474106769370847,0.13549311497167948,a
3611.0,2000.0,ford,good,6 cylinders,gas,179000.0,automatic,truck,black,769,1.9334670131831235,0.037038975889921735,a
5919.0,2012.0,ford,excellent,4 cylinders,gas,72060.0,automatic,sedan,white,20974,2.1876007002269318,0.08479260397691686,a
18311.0,2017.0,subaru,excellent,4 cylinders,gas,45000.0,automatic,sedan,white,3783,2.4085886132494703,0.18749740576034368,a
6539.0,2001.0,ford,good,4 cylinders,gas,152000.0,manual,truck,white,573,1.9508293344339445,0.11842521804306358,a
19011.0,2018.0,ford,like new,4 cylinders,gas,18206.0,automatic,SUV,silver,985,2.3420363977714502,0.23446812326597646,a
23844.0,2013.0,ford,good,6 cylinders,gas,218927.0,automatic,truck,black,894,2.3040863100842217,0.1675053493849864,a
43963.0,2020.0,ford,excellent,8 cylinders,gas,15899.0,automatic,pickup,black,1081,2.67909383768498,0.07240802695515278,c
4225.0,2008.0,ford,good,4 cylinders,gas,,automatic,sedan,blue,687,2.2392185363239165,0.06430148560556895,a
